epochs	loss_func_tr_region_0_0	loss_func_val_region_0_0	accuracy_tr_region_0_0	accuracy_val_region_0_0	loss_func_tr_region_0_1	loss_func_val_region_0_1	accuracy_tr_region_0_1	accuracy_val_region_0_1	loss_func_tr_region_0_2	loss_func_val_region_0_2	accuracy_tr_region_0_2	accuracy_val_region_0_2	loss_func_tr_region_1_0	loss_func_val_region_1_0	accuracy_tr_region_1_0	accuracy_val_region_1_0	loss_func_tr_region_1_1	loss_func_val_region_1_1	accuracy_tr_region_1_1	accuracy_val_region_1_1	loss_func_tr_region_1_2	loss_func_val_region_1_2	accuracy_tr_region_1_2	accuracy_val_region_1_2
11	1.4464314661378097e-05	1.803181516292085e-05	100.0	100.0	0.0003899415387165952	0.00491440545821743	99.99	99.95	0.0027540916414279817	0.00016815426842970994	99.96	100.0	0.1869761757508636	0.5075647162314417	92.5	82.9	0.15139888608142638	0.2774215994674596	94.34	89.65	0.16370955322841269	0.421794244109411	93.5	82.6
12	1.3622711335425919e-05	1.9183855277262294e-05	100.0	100.0	0.0005075732547272409	3.689025703477e-05	99.99	100.0	0.0019839297756910758	0.00016047543639373174	99.97	100.0	0.18995240022192175	0.36721333973748005	92.3	85.2	0.15468794317046267	0.29258807033474293	94.19	89.95	0.16431306663733736	0.44627035108781277	93.81	80.9
13	1.3014806727332129e-05	2.0254676834241536e-05	100.0	100.0	0.0010857338003262083	0.005312975902767561	99.99	99.95	0.0009230814042109312	9.628222913627838e-05	99.99	100.0	0.18880633529954993	0.49494531600595476	92.64	84.15	0.14771333117544497	0.253917300916306	94.65	89.95	0.16238529694827786	0.4823697285463022	93.94	81.4
14	9.466639146181066e-06	1.1908712176648351e-05	100.0	100.0	0.0006859685903498302	0.004379847911739553	99.99	99.95	0.0012498587775696848	9.782051506035572e-05	99.99	100.0	0.18627050971237058	0.4280057692890841	92.74	84.6	0.13978783702835176	0.32517123185521635	94.5	90.15	0.16822680532248743	0.4326753790471048	93.55	82.75
15	1.2899024054847886e-05	1.617498950204066e-05	100.0	100.0	9.597311650435535e-05	2.9355580341189126e-05	100.0	100.0	0.0015283221113994649	0.00013440204533114296	99.97	100.0	0.19117035741882618	0.3539999924763961	92.58	85.95	0.12771433273230923	0.31090606897115597	95.15	88.5	0.16302736936934195	0.3992552734638657	93.91	83.85
16	1.2046717393580763e-05	1.488227047169488e-05	100.0	100.0	0.0002486537245187037	0.005850751991177489	99.99	99.95	0.0020226972001492543	0.00013269622103904055	99.97	100.0	0.18745048014731133	0.4120792767602752	92.25	84.7	0.14167985512637507	0.29315106643918853	94.7	90.15	0.16908812132596795	0.4575961036276058	93.45	81.95
17	9.465937307650662e-06	1.629050602632276e-05	100.0	100.0	0.000361579737305167	4.343619162060719e-05	99.99	100.0	0.00010745187082931907	5.8060717301472664e-05	100.0	100.0	0.17521627919221572	0.4073803007792194	93.28	85.15	0.13813925929219972	0.2886235780941813	94.75	90.1	0.16443221931794244	0.3923981315081446	93.65	83.15
18	9.709047359056199e-06	1.0847419896251154e-05	100.0	100.0	0.000991499524642542	0.0006172678736926187	99.96	100.0	0.0021147888290508855	0.0001837203661591147	99.96	100.0	0.18449025034312244	0.4046067386613213	92.38	85.4	0.13543192843268867	0.300943556182232	95.0	89.8	0.1523251544934429	0.36764280728070664	94.49	85.2
19	1.3156339571510856e-05	9.092103799666518e-06	100.0	100.0	0.0006501844567400177	3.966848287753777e-05	99.97	100.0	0.0028154933832848757	0.0002019748869685287	99.95	100.0	0.17536657176388987	0.3512963306365314	93.11	86.35	0.1353371989458422	0.25771330805978504	94.94	90.6	0.1704488714536406	0.44348754822541103	93.36	80.75
20	7.182342184631097e-06	8.444710651836828e-06	100.0	100.0	4.783199336675281e-05	2.2807081263103157e-05	100.0	100.0	0.001383142787051117	9.956201108992246e-05	99.97	100.0	0.17826637818630686	0.4396573355223807	93.22	85.95	0.14247590836288182	0.2976993748534151	94.95	89.7	0.16693339985046168	0.5082006635169437	93.59	81.1
21	7.937528747872236e-06	7.834797700311925e-06	100.0	100.0	0.0004974055608518863	2.34270145892026e-05	99.99	100.0	0.0015768457907806201	0.00012303102088328187	99.97	100.0	0.17818382384568585	0.3661869420663679	93.06	86.8	0.13969486449542848	0.2587871207977605	94.78	90.3	0.16841558144571014	0.4330695910218219	93.78	82.9
22	5.746013225266466e-06	1.0315210348686322e-05	100.0	100.0	6.121432671994143e-05	2.2374162572972977e-05	100.0	100.0	8.625383776130846e-05	4.674001282843676e-05	100.0	100.0	0.17760280652790184	0.40803133400029107	92.91	84.95	0.12775615621184128	0.2849353914426465	95.17	89.9	0.16091351766846584	0.4561866218813957	93.91	82.8
23	6.6273219135108975e-06	8.012152587959065e-06	100.0	100.0	0.0013178336260914881	3.280921488973121e-05	99.99	100.0	0.0021396005494251453	0.00018311001896220347	99.94	100.0	0.1786060910962643	0.4128838382253573	92.79	85.95	0.13450470544348975	0.28619562734971987	95.06	89.6	0.14897987368997542	0.47636614179918524	94.31	81.9
24	7.063297375429656e-06	1.1240143203735897e-05	100.0	100.0	0.0010517222009305538	0.00012500554611840186	99.97	100.0	0.0010669268087958575	8.455958846116829e-05	99.97	100.0	0.1737900434558925	0.43547628811105443	93.24	85.55	0.13669178852896802	0.2628532961907185	94.86	89.65	0.1627569447349624	0.4336985577730729	93.29	81.5
25	5.441260376461088e-06	8.935597990408439e-06	100.0	100.0	0.0006939396478624804	0.00038913626089123456	99.97	100.0	0.0007387966884469642	0.00014260325459137136	99.99	100.0	0.16355789874505483	0.45218401365250227	93.51	85.15	0.13621199473435172	0.31484235599849125	94.89	89.55	0.15888768470712114	0.5130780197546001	93.69	80.8
