img_name	threshold	True Positive	% TP	True Negative	% TN	False Positive	% FP	False Negative	% FN	Dice	Accuracy	IoU	Precision	Recall
000030_10.png	0.2	86718	19.148118706942235	335683	74.12184243066596	28190	6.224606959901077	2289	0.505431902490726	0.8505308584459211	0.9326996113760819	0.9326996113760819	0.7546733038604797	0.9742829215679666
000030_10.png	0.3	84799	18.724386150856738	344629	76.09720014131778	19244	4.2492492492492495	4208	0.9291644585762233	0.8785185185185185	0.9482158629217453	0.9482158629217453	0.815038013129187	0.9527228195535182
000030_10.png	0.4	83017	18.33090443384561	351724	77.66384031089913	12149	2.682609079667903	5990	1.322646175587352	0.9015110792570029	0.9599474474474474	0.9599474474474474	0.8723388605174117	0.9327019223207164
000030_10.png	0.5	81297	17.951112877583466	355794	78.56253312135665	8079	1.783916269210387	7710	1.7024377318494965	0.9114882023511209	0.9651364599894011	0.9651364599894011	0.9096066058002148	0.9133775995146449
000030_10.png	0.6	78646	17.365748101042218	359223	79.31968733439322	4650	1.0267620561738209	10361	2.287802508390744	0.9128802168273332	0.9668543543543544	0.9668543543543544	0.9441749903956973	0.8835934252362174
000030_10.png	0.7	74658	16.485161632220457	362094	79.95363010068893	1779	0.39281928987811343	14349	3.1683889772125067	0.9025168637121926	0.9643879173290938	0.9643879173290938	0.9767259311589936	0.8387879604974889
000030_10.png	0.8	71846	15.864246599540717	363134	80.18327150680092	739	0.16317788376611905	17161	3.7893040098922453	0.889227189464825	0.9604751810634163	0.9604751810634163	0.9898188330922367	0.8071949397238419
000030_10.png	0.9	69083	15.254151210033562	363603	80.28683094859565	270	0.05961844197138315	19924	4.3993993993994	0.8724804243495833	0.9554098215862922	0.9554098215862922	0.9961068735310658	0.77615243744874
000032_10.png	0.1	77944	17.21074015191662	354520	78.28122239886946	20238	4.468733439321674	178	0.03930400989224519	0.8842000181504673	0.9549196255078608	0.9549196255078608	0.7938726039396223	0.9977215125060802
000032_10.png	0.2	77645	17.144718247659423	363063	80.16759406465289	11695	2.5823617735382443	477	0.10532591414944356	0.9273148535190073	0.9731231231231231	0.9731231231231231	0.8690955898813522	0.9938941655359566
000032_10.png	0.3	77312	17.07118883589472	367207	81.08262674439145	7551	1.667329093799682	810	0.17885532591414943	0.9487008006871798	0.9815381558028616	0.9815381558028616	0.9110212931430659	0.9896316018535112
000032_10.png	0.4	76825	16.96365483130189	369605	81.61212683271506	5153	1.1378290054760642	1297	0.28638933050697757	0.9597126795752654	0.9857578166401696	0.9857578166401696	0.9371416721559442	0.983397762474079
000032_10.png	0.5	76124	16.808867691220634	371471	82.02415650945063	3287	0.7257993287405052	1998	0.4411764705882353	0.9664514736594872	0.9883302420067126	0.9883302420067126	0.9586077495561068	0.9744246179053275
000032_10.png	0.6	75268	16.619855149266915	372953	82.35139551316021	1805	0.39856032503091327	2854	0.6301890125419537	0.9699797029543478	0.9897125066242713	0.9897125066242713	0.9765806443242121	0.9634673971480505
000032_10.png	0.7	74196	16.383147853736087	373936	82.56845080374492	822	0.1815050344462109	3926	0.8668963080727786	0.9689956902181011	0.9895159865748101	0.9895159865748101	0.9890426297688555	0.9497452702183764
000032_10.png	0.8	72456	15.998940116587175	374429	82.67730966260378	329	0.07264617558735206	5666	1.2511040452216924	0.9602735459587693	0.9867624977919096	0.9867624977919096	0.9954798378786838	0.9274724149407337
000032_10.png	0.9	69412	15.326797385620916	374732	82.74421480303833	26	0.005741035152799859	8710	1.9232467761879526	0.9407969639468691	0.9807101218865925	0.9807101218865925	0.9996255652524554	0.888507718696398
000037_10.png	0.1	77850	17.18998410174881	359508	79.38261791202967	12929	2.8548401342518988	2593	0.5725578519696167	0.9093457616427796	0.9657260201377849	0.9657260201377849	0.8575771929631303	0.967765995798267
000037_10.png	0.2	76589	16.911543896838015	365321	80.66618088676913	7116	1.5712771595124537	3854	0.8509980568804099	0.9331700660379657	0.9757772478360713	0.9757772478360713	0.9149871572785377	0.9520902999639497
000037_10.png	0.3	75988	16.778837661190604	367918	81.23962197491609	4519	0.9978360713654831	4455	0.983704292527822	0.9442435538987263	0.9801845963610669	0.9801845963610669	0.9438682350603053	0.9446191713387119
000037_10.png	0.4	75662	16.706853912736264	369589	81.60859388800566	2848	0.628864158275923	4781	1.0556880409821587	0.9520046806288651	0.9831544780074192	0.9831544780074192	0.9637243663227615	0.940566612383924
000037_10.png	0.5	75301	16.627141847730083	370639	81.84044338456103	1798	0.39701466172054406	5142	1.1354001059883412	0.9559482550684897	0.9846758523229111	0.9846758523229111	0.9766793343623134	0.9360789627438062
000037_10.png	0.6	74827	16.522478360713656	371440	82.01731142907613	997	0.22014661720544074	5616	1.2400635930047694	0.9576814042632161	0.9853978978978979	0.9853978978978979	0.986851128930154	0.9301865917481944
000037_10.png	0.7	74119	16.366145557322028	371878	82.11402579049638	559	0.12343225578519697	6324	1.3963963963963963	0.9556281870281909	0.984801713478184	0.984801713478184	0.9925145290446986	0.9213853287420907
000037_10.png	0.8	72912	16.09962904080551	372133	82.17033209680268	304	0.06712594947889065	7531	1.662912912912913	0.9490104712382613	0.982699611376082	0.982699611376082	0.9958479020979021	0.9063809156794251
000037_10.png	0.9	70688	15.608549726196784	372331	82.2140522875817	106	0.023405758699876347	9755	2.1539922275216394	0.9347977016206351	0.9782260201377848	0.9782260201377848	0.9985026979687545	0.8787340104173141
000042_10.png	0.1	86193	19.032193958664546	348653	76.98573573573573	15896	3.509980568804098	2138	0.47208973679561916	0.9052935616006722	0.9601792969440028	0.9601792969440028	0.8442927249752666	0.9757955870532429
000042_10.png	0.2	84759	18.715553789083202	356471	78.71202084437378	8078	1.7836954601660484	3572	0.7887299063769652	0.9356950454826459	0.9742757463345698	0.9742757463345698	0.9129872787789352	0.9595611959561196
000042_10.png	0.3	83960	18.539127362656775	360122	79.51819466525349	4427	0.9775216392863452	4371	0.9651563328033916	0.9502144659853552	0.9805732202791027	0.9805732202791027	0.9499134488103455	0.9505156739989358
000042_10.png	0.4	83430	18.42209856915739	361724	79.8719307542837	2825	0.6237855502561385	4901	1.0821851263027733	0.9557467379973194	0.9829402932344109	0.9829402932344109	0.9672482754622921	0.9445155155041831
000042_10.png	0.5	82900	18.305069775658012	362512	80.0459282812224	2037	0.44978802331743506	5431	1.1992139198021552	0.9568991389062032	0.9835099805688041	0.9835099805688041	0.9760175188669249	0.9385153570094305
